Book,Character
Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets (video game)
Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets (character index)
Harry Potter and the Chamber of Secrets,Second year
Harry Potter and the Prisoner of Azkaban,Cliff Wright (UK)
Harry Potter and the Prisoner of Azkaban,Jonny Duddle (UK) (Children's Edition redesign)
Harry Potter and the Prisoner of Azkaban,Mary GrandPré (US)
Harry Potter and the Prisoner of Azkaban,Kazu Kibuishi (US) (15th Anniversary Edition)
Harry Potter and the Prisoner of Azkaban,Jim Kay (Illustrated Edition)
Harry Potter and the Prisoner of Azkaban,Olly Moss (Pottermore eBook)
Harry Potter and the Prisoner of Azkaban,Mary GrandPré (US)
Harry Potter and the Prisoner of Azkaban,Jim Kay (Illustrated Edition)
Harry Potter and the Prisoner of Azkaban,Stephen Fry (UK)
Harry Potter and the Prisoner of Azkaban,Jim Dale (US)
Harry Potter and the Prisoner of Azkaban,"Bloomsbury (UK, Canada)"
Harry Potter and the Prisoner of Azkaban,Scholastic (US)
Harry Potter and the Prisoner of Azkaban,Raincoast Books (Canada (formerly))
Harry Potter and the Prisoner of Azkaban,Yapı Kredi Yayınları (Turkey)
Harry Potter and the Prisoner of Azkaban,462 (UK)
Harry Potter and the Prisoner of Azkaban,435 (US)
Harry Potter and the Prisoner of Azkaban,512 (Turkey)
Harry Potter and the Prisoner of Azkaban,1 Dedication
Harry Potter and the Prisoner of Azkaban,2 Book description
Harry Potter and the Prisoner of Azkaban,"3 Plot

3.1 Chapter 1: Owl Post
3.2 Chapter 2: Aunt Marge's Big Mistake
3.3 Chapter 3: The Knight Bus
3.4 Chapter 4: The Leaky Cauldron
3.5 Chapter 5: The Dementor
3.6 Chapter 6: Talons and Tea Leaves
3.7 Chapter 7: The Boggart in the Wardrobe
3.8 Chapter 8: Flight of the Fat Lady
3.9 Chapter 9: Grim Defeat
3.10 Chapter 10: The Marauder's Map
3.11 Chapter 11: The Firebolt
3.12 Chapter 12: The Patronus
3.13 Chapter 13: Gryffindor versus Ravenclaw
3.14 Chapter 14: Snape's Grudge
3.15 Chapter 15: The Quidditch Final
3.16 Chapter 16: Professor Trelawney's Prediction
3.17 Chapter 17: Cat, Rat and Dog
3.18 Chapter 18: Moony, Wormtail, Padfoot and Prongs
3.19 Chapter 19: The Servant of Lord Voldemort
3.20 Chapter 20: The Dementor's Kiss
3.21 Chapter 21: Hermione's Secret
3.22 Chapter 22: Owl Post Again"
Harry Potter and the Prisoner of Azkaban,3.1 Chapter 1: Owl Post
Harry Potter and the Prisoner of Azkaban,3.2 Chapter 2: Aunt Marge's Big Mistake
Harry Potter and the Prisoner of Azkaban,3.3 Chapter 3: The Knight Bus
Harry Potter and the Prisoner of Azkaban,3.4 Chapter 4: The Leaky Cauldron
Harry Potter and the Prisoner of Azkaban,3.5 Chapter 5: The Dementor
Harry Potter and the Prisoner of Azkaban,3.6 Chapter 6: Talons and Tea Leaves
Harry Potter and the Prisoner of Azkaban,3.7 Chapter 7: The Boggart in the Wardrobe
Harry Potter and the Prisoner of Azkaban,3.8 Chapter 8: Flight of the Fat Lady
Harry Potter and the Prisoner of Azkaban,3.9 Chapter 9: Grim Defeat
Harry Potter and the Prisoner of Azkaban,3.10 Chapter 10: The Marauder's Map
Harry Potter and the Prisoner of Azkaban,3.11 Chapter 11: The Firebolt
Harry Potter and the Prisoner of Azkaban,3.12 Chapter 12: The Patronus
Harry Potter and the Prisoner of Azkaban,3.13 Chapter 13: Gryffindor versus Ravenclaw
Harry Potter and the Prisoner of Azkaban,3.14 Chapter 14: Snape's Grudge
Harry Potter and the Prisoner of Azkaban,3.15 Chapter 15: The Quidditch Final
Harry Potter and the Prisoner of Azkaban,3.16 Chapter 16: Professor Trelawney's Prediction
